"Are you sure? If you are using mobile app you will have to rescan QR code. For safety reasons you will have to enable protection again.","Jesteś pewien? Jeśli używasz apki mobilnej będziesz musiał ponownie zeskanować kod QR. Dla bezpieczeństwa ochrona zostanie wyłączona. Będziesz musiał włączyć ją ponownie."
"Regenerate secret key","Zmień swój klucz prywatny"
"Two Factor Authentication Settings","Ustawienia dwuetapowej weryfikacji"
"Settings","Ustawienia"
"User Settings","Ustawienia użytkownika"
"Status","Status"
"Enabled","Włączone"
"Disabled","Wyłączone"
"Trust last IP address","Ufaj ostatniemu adresowi IP"
"Discrepancy","Rozbieżność"
"How long your code should be valid.","Jak długo powinien być ważny twój kod."
"Authentication Method","Metoda weryfikacji"
"Ask for code only if IP has changed since last successful login?","Pytać o kod tylko gdy twój adres IP zmienił się od ostatniego poprawnego logowania?"
"Code validation","Weryfikacja kodu"
"Two Factor Authentication Validation","Walidacja weryfikacji dwuetapowej"
"Authentication Code","Kod autoryzacji"
"Code not validated. Protection disabled.","Kod niepoprawny. Ochrona wyłączona."
"Code validated. Protection enabled.","Kod poprawny. Ochrona włączona."
"Unable to save settings.","Nie udało się zapisać ustawień."
"Settings has been saved.","Ustawienia zostały zapisane."
"Send me codes by e-mail (%s)","Wysyłaj mi kody na e-mail (%s)"
"I will use mobile application","Będę używać aplikacji mobilnej"
"%s seconds","%s sekund"
"No","Nie"
"Yes","Tak"
"Two Factor Authentication","Weryfikacja dwuetapowa"
"Authentication Code:","Kod autoryzacyjny:"
"Enter Code","Wprowadź kod"
"Resend code","Wyślij kod ponownie"
"Mobile application setup","Ustawienia aplikacji mobilnej"
"QR Code for mobile app","Kod QR dla aplikacji mobilnej"
"Install Google Authenticator app to generate tokens on your smartphone.","Zainstaluj na swojego smartphone`a aplikację Google Authenticator."
"Available for","Dostępna dla"
